sample	animal	flower	fruit	leaf	others
Y006	0.030195009	0	0.951352485	0.018452506	0
Y008	0.128840125	0	0.871159875	0	0
Y009	0.122783083	0	0.877216917	0	0
Y010	0.073542024	0	0.806389365	0.120068611	0
Y012	0.12346428	0	0.740330654	0.136205066	0
Y013	0.102538071	0	0.897461929	0	0
Y014	0.096491228	0	0.903508772	0	0
Y015	0.073155216	0	0.907601781	0.019243003	0
Y016	0.067992521	0	0.932007479	0	0
Y018	0.005985523	0	0.90158686	0.092427617	0
Y021	0.162705667	0	0.795579192	0.04171514	0
Y023	0.008317797	0	0.991682203	0	0
Y024	0.096074209	0	0.812324002	0.091601789	0
Y025	0.065357682	0	0.739942331	0.194699986	0
Y026	0.093962067	0	0.823734122	0.082303811	0
Y028	0.09826087	0	0.90173913	0	0
Y030	0.209811707	0	0.790188293	0	0
Y031	0	0	1	0	0
Y033	0	0	1	0	0
Y034	0.094415659	0	0.891767415	0.013816926	0
Y036	0.016235413	0	0.951674277	0.032090309	0
Y037	0	0	1	0	0
Y038	0	0	1	0	0
