Sample	Diet_group	Subject	Animal	Flower	Fruit	Leaf	Others
B083	L	B1	0.132816724	0.037123806	0.16994053	0.66011894	0
B084	L	B2	0	0.288506013	0.069495837	0.618871415	0.023126735
B090	L	B1	0	0.212739817	0.304035535	0.483224648	0
B092	L	B2	0.028333577	0.430845626	0.137578502	0.403242296	0
B097	L	B1	0	0.189054306	0.33158518	0.419725935	0.05963458
B098	L	B2	0	0.226292366	0.312107726	0.461599909	0
C003	L	B1	0.074700399	0.155126498	0.303328895	0.466844208	0
C005	L	B2	0.033855332	0.217897092	0.217897092	0.530350485	0
C008	L	B1	0	0.601122508	0.280143217	0.118734275	0
C010	L	B2	0	0.630557722	0.216458658	0.152983619	0
C011	L	B1	0	0.461456483	0.245470693	0.293072824	0
C012	L	B2	0	0.376188756	0.379559408	0.244251836	0
C015	L	B1	0	0.615962777	0.063827249	0.320209974	0
C021	L	B2	0	0	0.550023935	0.449976065	0
C024	F	B1	0	0.091212912	0.606374307	0.296299315	0.006113466
C026	F	B1	0.003940792	0.042099193	0.666474433	0.28171857	0.005767013
C027	F	B2	0	0	0.733148661	0.266851339	0
C028	F	B1	0	0	0.836923827	0.163076173	0
C033	F	B2	0	0	0.842323059	0.157676941	0
C034	F	B1	0	0	0.829808328	0.170191672	0
C039	L	B1	0	0	0.450522362	0.549477638	0
C042	L	B1	0.018407167	0	0.418210823	0.56338201	0
C045	L	B2	0	0	0.252155878	0.747844122	0
C046	L	B1	0	0	0.308264059	0.691735941	0
C050	L	B1	0.126191812	0	0.190876799	0.682931389	0
C051	L	B2	0.027378098	0.027977618	0.31205036	0.626698641	0.005895284
C056	F	B2	0	0.0674946	0.796436285	0.136069114	0
C060	F	B1	0	0.175361923	0.739552035	0.085086042	0
C061	F	B2	0	0	0.945366248	0.054633752	0
C062	F	B1	0	0.080378496	0.799001768	0.120619736	0
C065	F	B2	0	0.03255814	0.96744186	0	0
C066	F	B1	0	0	0.858691289	0.141308711	0
C068	F	B2	0	0.190180236	0.670292107	0.139527657	0
D007	L	A4	0	0	0.133978899	0.811967047	0.054054054
D010	L	A2	0	0	0.096034858	0.859172113	0.044793028
D011	L	A1	0	0	0.09037937	0.871311679	0.038308951
D012	L	A3	0.015330189	0	0.248584906	0.689858491	0.046226415
D014	L	A1	0	0	0.440659341	0.559340659	0
D016	L	A2	0.019952906	0	0.430536622	0.549510472	0
D017	L	A4	0.031568563	0	0.424860243	0.536007892	0.007563302
D018	L	A4	0	0.154899373	0.044374794	0.800725833	0
D020	L	A3	0	0.033098883	0.013653289	0.953247828	0
D022	L	A1	0.007059156	0.142736129	0.082450939	0.767753777	0
D023	L	A1	0	0.306075306	0.237006237	0.456918457	0
D024	L	A3	0	0.27943761	0.187932044	0.532630346	0
D026	L	A2	0	0.212365331	0.233038921	0.554595749	0
D028	L	A4	0	0.212665811	0.246362858	0.540971331	0
D030	L	A4	0	0.640556369	0.192532943	0.166910688	0
D033	L	A3	0.010075567	0.360334085	0.176587565	0.453002784	0
D041	L	A4	0	0	0.494411006	0.497181618	0.008407376
D042	L	A1	0	0.028427492	0.37495502	0.596617488	0
D043	L	A2	0.054206298	0.018284237	0.395512051	0.510942839	0.021054576
D048	L	A2	0	0	0.217634104	0.782365896	0
D049	L	A1	0	0	0.183040243	0.816959757	0
D058	L	A2	0	0	0.041416894	0.958583106	0
D059	L	A1	0	0	0.042494941	0.957505059	0
D060	L	A1	0	0	0.177542331	0.822457669	0
D061	L	A4	0.003536693	0	0.271567513	0.724895794	0
D062	L	A1	0	0.282943988	0.261026427	0.396049427	0.059980157
D063	L	A2	0	0.299874726	0.333933605	0.326495459	0.03969621
D064	L	A4	0	0.236608941	0.430326218	0.333064841	0
D068	L	A2	0	0.214666882	0.130902329	0.614489004	0.039941785
D069	L	A1	0	0.22638203	0.133184642	0.640433328	0
D071	L	A4	0	0.201471791	0.139656582	0.634096484	0.024775143
D072	L	A2	0	0.364382049	0.114520073	0.500433788	0.02066409
D074	L	A2	0	0.712818453	0.10460179	0.182579757	0
D075	L	A1	0	0.603618717	0.255167455	0.141213828	0
D076	L	A4	0	0.66550721	0.198836327	0.135656463	0
D081	L	A2	0	0.343935812	0.2935024	0.362561788	0
E006	L	A4	0	0.197218979	0.043307505	0.759473517	0
E008	L	A1	0	0.143092467	0.040962003	0.81594553	0
E009	L	A2	0	0.260373155	0.062517405	0.67710944	0
E011	L	A3	0	0.482202557	0.056440511	0.461356932	0
E014	L	A1	0	0	0.181217805	0.818782195	0
E016	L	A4	0	0	0.253262066	0.709322434	0.037415501
E017	L	A2	0.024022854	0	0.141799766	0.83417738	0
E018	L	A1	0	0.080325172	0.331849415	0.587825414	0
E020	L	A2	0	0.0602648	0.229645412	0.704002435	0.006087354
E024	L	A3	0	0.0869038	0.15292374	0.76017246	0
E025	L	A4	0	0.066961515	0.227420857	0.705617629	0
E026	L	A2	0	0	0.307367914	0.692632086	0
E027	L	A1	0	0	0.309956114	0.690043886	0
E028	L	A1	0	0	0.273566792	0.726433208	0
E030	L	A2	0	0	0.287649402	0.712350598	0
E031	L	A4	0	0	0.223667613	0.776332387	0
E035	L	A3	0	0	0.219772319	0.780227681	0
E036	L	A4	0	0	0.232831737	0.767168263	0
G007	F	B1	0.162107582	0	0.837892418	0	0
G008	F	B1	0.109423435	0	0.890576565	0	0
G009	F	B2	0.197815534	0	0.802184466	0	0
G010	F	B2	0.059437987	0	0.741650728	0.198911284	0
G027	F	B2	0.18017256	0	0.81982744	0	0
